RENE_FINAL;ABONO_OFERTADO;CONSUMO_SBIF;EDAD;SEXO_BIN;SCORE;DEUDA_PROM3;PROME_UTILIZACION_3MESES;PROME_LINEA_CREDITO_3MESES;PROME_CANT_INSTITU_3MESES;SUMA_MOROSA_3MESES;Deuda_Char_008;Pago_Char_008
0;103878;6272;63;1;516;1107688;0.916666667;853;3;0;6;14
0;20700;2742;46;1;424;264968;0.883333333;315;4;19;4;12
1;11820;218;68;1;440;103695;0.516666667;20;3;26;8;9
0;0;1379;55;0;557;1097195;0.546666667;2936;2;0;6;27
0;41280;7255;42;0;498;288995;0.163333333;6220;4;96;4;16
0;0;700;50;1;550;117748;0.183333333;4890;3;0;7;31
0;352190;70024;52;1;454;6525266;0.786666667;12419;6;3209;6;3
1;27660;4741;48;0;426;638534;0.68;1397;3;1190;5;10
0;26617;112;30;1;476;73741;0.5;49;1;0;0;8
0;0;37392;61;1;520;446356;0.89;7685;4;0;3;10
0;156750;30750;53;0;486;8799740;1;283;7;52;4;2
0;0;2134;70;0;515;1114527;0.743333333;752;3;0;9;14
0;43210;3959;28;1;436;338325;0.913333333;466;3;232;0;0
0;0;1897;27;0;522;512421;0.483333333;4115;5;23;6;48
1;11070;3174;34;0;408;206371;0.686666667;19;3;114;3;0
0;61796;18075;61;0;441;3265014;0.34;35;4;0;7;3
0;0;1461;29;0;474;1132691;1;589;2;0;2;2
0;9533;172;59;0;496;204009;0.036666667;5897;1;25;7;10
1;25010;491;25;1;394;472187;1;0;1;148;3;0
0;0;9228;30;1;539;1196718;1;467;2;0;4;0
0;0;6146;56;1;501;425121;0.853333333;606;6;7;9;8
0;55080;1074;50;0;433;1064388;0.713333333;0;1;353;8;6
0;56400;1139;58;0;423;732920;0.95;1230;2;191;2;6
0;35445;265;66;1;465;254105;0.253333333;0;2;22;5;11
0;31190;157;72;0;461;149194;1;0;1;0;2;0
0;31910;50079;52;1;420;1233477;1;0;3;4361;3;0
0;6680;121;45;1;370;115443;1;0;1;58;0;0
0;0;668;60;0;544;409655;0.403333333;1904;4;0;6;10
0;111729;1404;57;0;435;1164700;1;185;2;0;6;0
0;12490;1835;32;0;423;322950;0.963333333;11;2;369;3;9
0;35080;5450;38;1;461;1304854;0.793333333;50;3;0;10;5
0;61260;21182;41;1;399;2683423;0.74;7818;4;205;3;2
0;208830;2147;45;0;450;2231844;0.646666667;0;1;800;4;5
0;55320;6614;50;1;424;382084;0.906666667;0;5;3027;2;5
0;229080;2077;62;0;543;2023993;0.703333333;565;1;0;6;13
0;122730;2635;48;1;431;1379400;0.793333333;414;3;1170;7;4
1;0;4901;71;1;458;1916075;1;8940;5;0;0;0
0;19614;6742;35;0;481;307358;0.95;877;3;0;5;23
0;187861;9516;46;1;409;980904;0.406666667;1377;5;1842;4;6
0;36250;8460;30;1;433;1303295;1;1621;8;2590;3;0
1;;2513;68;0;417;2503184;1;20;2;55;4;1
0;23000;576;62;0;456;247348;0.206666667;0;2;9;7;12
0;94910;6528;32;1;376;1759482;1;0;3;1308;2;0
1;62884;254;45;1;482;241753;0.963333333;9;1;0;5;18
1;373430;15168;61;1;438;13950868;1;2231;2;150;7;1
0;21260;7360;29;1;448;150524;0.926666667;23;3;1020;1;11
0;39340;4210;33;0;496;281360;0.906666667;1538;5;0;4;20
0;31850;4546;44;1;424;417360;0.713333333;1175;6;37;6;3
0;31641;1008;49;1;433;1011439;0.996666667;0;1;0;5;5
0;39890;1041;60;1;440;977024;1;17;2;0;4;7
1;179700;56146;47;0;430;8685046;1;0;3;1146;5;4
0;95566;35321;39;1;497;469144;0.783333333;1332;5;27;4;8
0;26186;3719;51;1;496;472442;0.933333333;403;3;0;5;16
0;179060;3022;54;0;424;1506818;0.976666667;2409;5;226;2;0
0;91230;4287;40;1;434;999278;0.793333333;0;4;1681;6;0
0;100260;2691;45;0;445;1173675;0.893333333;2368;2;81;4;2
1;225355;12418;60;1;494;2174898;0.78;1277;4;0;3;4
0;76510;6981;36;0;444;3101710;1;60;2;0;3;2
0;22113;3165;52;0;412;1005316;0.776666667;0;4;0;4;3
0;58180;8804;36;0;507;1529127;0.996666667;982;2;0;5;5
0;24660;10574;40;0;429;223182;0.496666667;6461;5;136;2;0
0;63310;837;44;0;435;304704;0.196666667;0;2;284;0;0
0;61258;8807;54;1;485;7831921;0.89;2418;4;23;7;2
0;66080;17875;54;0;487;3441373;0.933333333;2263;4;0;2;3
1;23200;2262;74;0;510;666209;0.83;494;3;0;5;6
0;22705;1606;41;0;441;353812;0.18;368;4;0;8;11
0;0;1746;58;0;555;227249;0.633333333;1444;3;0;6;32
0;31140;511;27;1;359;303492;1;0;2;17;1;0
0;12710;1008;70;0;452;118745;0.28;362;2;50;4;18
1;143010;2542;60;0;516;700018;0.113333333;3540;3;0;6;9
0;63426;10247;54;0;524;233527;0.94;2552;6;0;5;11
1;329390;7959;52;0;381;6395051;1;1594;2;2329;3;1
